address,area,price
大洲国际龙郡-前埔北区,思明,3600
新景花园-软件园,思明,3500
新景花园-软件园,思明,3500
厦成海景花园-博物馆,思明,8000
宝龙中心一期-嘉禾路,思明,4800
宝龙中心一期-嘉禾路,思明,5200
怡祥大厦-松柏,思明,6500
电业花园-富山,思明,3600
先锋营小区-中山路,思明,3500
故宫裕景-厦禾路,思明,2500
故宫裕景-白城,思明,3800
建设大厦-厦禾路,思明,5000
故宫裕景-厦禾路,思明,2500
建设大厦-厦禾路,思明,5200
坑内路-文园路,思明,7500
欣景佳苑-万寿路,思明,3900
万寿花园-万寿路,思明,4600
中铁大厦-文园路,思明,3800
万寿北路-万寿路,思明,2300
万寿北路-万寿路,思明,2300
万寿花园-万寿路,思明,4500
万寿花园-万寿路,思明,4500
东方时代-禾祥西路,思明,5900
莲富大厦-富山,思明,4300
联邦广场-禾祥西路,思明,3600
水晶国际-观音山,思明,2300
卧龙晓城-莲前西路,思明,5800
皓晖花园-禾祥东路,思明,3900
罗宾森广场二期-厦禾路,思明,2300
银龙广场-禾祥东路,思明,2600
仙阁里-松柏,思明,1100
文园路-文园路,思明,3000
卧龙晓城-莲前西路,思明,4400
岭兜佳园-软件园,思明,1700
新景花园-软件园,思明,2600
文园雅阁-文园路,思明,7200
故宫裕景-厦禾路,思明,5500
嘉英大厦-鹭江道,思明,6800
中山海景广场-中山路,思明,7500
岭兜小区-前埔北区,思明,3600
软件园二期-软件园,思明,1800
永升花园-松柏,思明,4800
永升花园-松柏,思明,6500
嘉滨里-松柏,思明,3888
嘉华大厦-长青路,思明,2600
鑫塔水尚-观音山,思明,9500
水晶国际-观音山,思明,1500
湖滨四里-湖滨南路,思明,3600
金象嘉园-禾祥东路,思明,6000
龙景台-禾祥东路,思明,6000
九龙城-厦禾路,思明,1388
鸿山大厦-思明南路,思明,2700
大同路-中山路,思明,1800
东方时代广场-禾祥西路,思明,4500
山木清华-莲前,思明,2800
禹洲碧山临海-厦大,思明,7500
宝龙中心-长青路,思明,4200
联谊广场-富山,思明,3900
华天花园-嘉禾路,思明,2900
宝达大厦-白城,思明,2900
台亚大厦-松柏,思明,4800
明发海景苑-会展路,思明,2500
东芳山庄-槟榔东里,思明,16000
京华大厦-火车站,思明,1800
天宝大厦-松柏,思明,1200
世贸国际-火车站,思明,3300
岭兜佳园小区-前埔南区,思明,2900
岭兜佳园小区-前埔南区,思明,3600
岭兜小区-前埔北区,思明,3700
海艺大厦-软件园,思明,2200
假日香港广场-思明北路,思明,4200
香港广场-思明北路,思明,4280
香港广场-厦禾路,思明,6500
金峰山庄-文灶,思明,13500
香山碧海晴空-软件园,思明,9500
岭兜小区-前埔北区,思明,2700
摩登时代大厦-嘉禾路,思明,2800
摩登时代大厦-嘉禾路,思明,2800
四川大厦-莲花北路,思明,4200
米兰春天-湖滨北路,思明,3200
米兰春天-湖滨北路,思明,3400
米兰春天-湖滨北路,思明,3800
禾祥首府（思明苑二期）-禾祥西路,思明,5700
九龙城-厦禾路,思明,2600
一代风华-松柏,思明,2000
米兰春天-湖滨北路,思明,3100
宝华花园-湖滨北路,思明,1200
宝达大厦-嘉禾路,思明,3000
华天花园-嘉禾路,思明,4800
怡祥大厦-松柏,思明,1900
宝龙中心一期-嘉禾路,思明,3000
源通中心-厦禾路,思明,3300
假日香港广场-思明北路,思明,3700
假日香港广场-思明北路,思明,4500
岭兜一里-软件园,思明,3800
上东美地-软件园,思明,5900
岭兜佳园-软件园,思明,3700
新景花园-软件园,思明,2700
碧海晴空-软件园,思明,1900
岭兜佳园-软件园,思明,3700
软件园二期-软件园,思明,2000
海峡国际社区二期-会展路,思明,12000
海峡国际社区二期-会展路,思明,4000
海峡国际社区二期-会展路,思明,5700
侨福城二期-莲前东路,思明,1300
水晶国际-观音山,思明,1600
万寿花园-文园路,思明,5000
文园公寓-文园路,思明,3600
中铁大厦-文园路,思明,3800
阳台山小区-万寿路,思明,3100
电业花园-富山,思明,3000
电业花园-富山,思明,3600
电业花园-富山,思明,3600
电业花园-富山,思明,3800
金鸡亭-金鸡亭,思明,2850
富山女人街-富山,思明,2800
罗宾森广场二期-火车站,思明,3300
汇丰家园-文灶,思明,4800
世贸国际-火车站,思明,3600
罗宾森广场二期-厦禾路,思明,5900
中建大厦岳阳小区-仙岳路,思明,2800
岭兜佳园-软件园,思明,1200
明发城-软件园,思明,4600
槟榔西里-槟榔西里,思明,2800
槟榔西里-槟榔西里,思明,2600
槟榔西里单号区-槟榔西里,思明,2800
鹭江海景二期-博物馆,思明,5500
东方巴黎-金榜路,思明,4600
罗宾森璀璨新城二期-火车站,思明,5000
湖滨四里-湖滨南路,思明,3600
民盛商厦-瑞景,思明,1200
禹州世贸国际-厦禾路,思明,3200
裕发广场-富山,思明,2400
百源双玺-厦禾路,思明,4000
天成花园-火车站,思明,2200
新景数码港-富山,思明,1000
