addr,area,price
长沙市劳动西路293号,天心区,4000
长沙市天心区新姚北路398号申奥美域,天心区,2100
长沙市天心区芙蓉南路369号BOBO天下城,天心区,3200
湖南省长沙市天心区时代阳光大道西兴汝·金城(富景园南),天心区,2400
天心芙蓉南路828号(芙蓉南路西侧),天心区,1550
天心芙蓉南路828号(芙蓉南路西侧),天心区,1600
芙蓉中路三段600号,天心区,2300
长沙市天心区芙蓉中路二段200号新世纪花苑,天心区,5500
长沙市天心区环保西路与芙蓉南路交汇处,天心区,1600
天心区赤岭路街道赤岭路215号,天心区,3200
新联路与青山路交汇处东南角鑫远逸园,天心区,2500
湘府西路新省政府西边保利花园,天心区,1800
湖南省长沙市天心区石碑路,天心区,2300
湘府西路新省政府西边保利花园,天心区,2100
湘府西路新省政府西边保利花园,天心区,2800
书院路104书苑花园,天心区,1400
书院路104书苑花园,天心区,1200
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,2600
长沙市黄土岭路188号,天心区,5500
长沙市天心区书香路658号,天心区,1600
东茅街68号,天心区,2800
天心区赤岭路街道赤岭路215号,天心区,3500
杉木冲中路288号,天心区,2000
长沙市天心区芙蓉南路一段758号,天心区,2000
长沙市天心区湘江南路36号,天心区,5000
长沙市天心区环保西路与芙蓉南路交汇处,天心区,1600
湖南省长沙市天心区新姚南路200,天心区,1400
天心区园莫路8号,天心区,2500
长沙市天心区经贸街58号,天心区,3000
天心暮云镇高云村，万家丽路（火星大道）与芙蓉南路的交汇处,天心区,13000
湖南省长沙市天心区大托镇中意二路111号,天心区,2150
南二环二段282号（书院路与南二环交汇处西南角）,天心区,1800
天心区赤岭路219号,天心区,2300
湖南省长沙市天心区赤黄路122号附近,天心区,1800
天心区赤岭路长沙理工大学对面白沙花园,天心区,2200
芙蓉南路高云路6号怡海星城,天心区,1700
芙蓉南路与万家丽路交汇处，动物园附近,天心区,2700
芙蓉南路高云路6号怡海星城,天心区,1800
芙蓉南路与万家丽路交汇处，动物园附近,天心区,1600
芙蓉南路高云路6号怡海星城,天心区,1200
芙蓉南路与万家丽路交汇处，动物园附近,天心区,2600
芙蓉南路高云路6号怡海星城,天心区,1000
芙蓉南路高云路6号怡海星城,天心区,1200
长沙理工大学云塘校区正对面,天心区,2000
芙蓉南路高云路6号怡海星城,天心区,1000
芙蓉南路高云路6号怡海星城,天心区,2000
芙蓉南路高云路6号怡海星城,天心区,1700
芙蓉南路高云路6号怡海星城,天心区,1100
芙蓉南路高云路6号怡海星城,天心区,1100
芙蓉南路高云路6号怡海星城,天心区,1200
芙蓉南路高云路6号怡海星城,天心区,2000
芙蓉南路高云路6号怡海星城,天心区,1200
芙蓉中路三段268号芙蓉·蓉苑,天心区,3000
湖南省长沙市天心区新开铺路天悦嘉园(黑石安置小区南50米),天心区,1080
长沙市天心区新姚南路198号,天心区,2200
天心区刘家冲北路238号满庭芳家园,天心区,1700
天心区新韶西路288,天心区,2200
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,2800
天心五凌路168号,天心区,3400
天心石人村木莲冲路110号童话里,天心区,2800
天心区书院路9号（南湖路和湘江路交汇处东北角）,天心区,3100
湖南省长沙市天心区暮云街道卢浮社区万家丽南路968号,天心区,2200
天心区大托镇先锋村新谷路368号,天心区,3800
天心区大托镇先锋村新谷路368号,天心区,3200
芙蓉南路三段178号,天心区,10000
长沙市韶山南路578号,天心区,1800
长沙市天心区湘江中路2段36号,天心区,18000
万家丽路与月塘路交汇处,天心区,2500
富景园,天心区,2500
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,3000
天和家园位于长沙市天心区芙蓉南路东侧天心生态新城,天心区,2600
长沙市天心区环保西路与芙蓉南路交汇处,天心区,2500
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,3200
芙蓉中路380号（神农大酒店对面）,天心区,2000
中意二路西中信文化广场（中信新城二期）,天心区,1300
湖南省长沙市天心区雀园路468号,天心区,2800
先锋小学背后,天心区,1200
中意二路西中信文化广场（中信新城二期）,天心区,1200
长沙市天心区环保西路与芙蓉南路交汇处,天心区,1400
长沙市天心区环保西路与芙蓉南路交汇处,天心区,1400
长沙市天心区环保西路与芙蓉南路交汇处,天心区,1400
长沙市天心区湘府西路100,天心区,2600
长沙市天心区环保西路与芙蓉南路交汇处,天心区,1300
长沙市韶山南路中南林业科技大学旁,天心区,1600
芙蓉南路49号,天心区,1800
天心长沙市新韶西路229号,天心区,9000
湖南省长沙市天心区湘府路与五凌路交汇处湘府9号,天心区,2000
南湖路道路,天心区,1400
芙蓉南路49号,天心区,2200
芙蓉南路49号,天心区,8500
天心长沙市新韶西路229号,天心区,3100
芙蓉南路49号,天心区,3000
万家丽路与月塘路交汇处,天心区,2400
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,2400
中意二路西中信文化广场（中信新城二期）,天心区,2000
湖南省长沙市天心区腾泰佳园(芙蓉南路西100米),天心区,1500
南二环二段282号（书院路与南二环交汇处西南角）,天心区,2500
湖南省长沙市天心区中意一路1068号(保险学院旁）,天心区,2500
长沙市天心区芙蓉南路一段758号,天心区,1500
天心区芙蓉南路和友谊路口交汇处长城华都,天心区,1400
中意二路西中信文化广场（中信新城二期）,天心区,1700
湖南省长沙市天心区雀园路468号,天心区,2000
天心区芙蓉南路二段103号,天心区,2200
新开铺路114号湖机宿舍,天心区,1200
天心区赤岭路长沙理工大学对面白沙花园,天心区,1050
长沙天心区天剑路26号,天心区,1300
湖南省长沙市天心区芙蓉南路,天心区,1700
长沙市天心区老虎塘路65号,天心区,3200
芙蓉南路西向友谊路958号（原1103厂）,天心区,800
长沙市黄土岭路188号,天心区,3200
长沙市天心区芙蓉南路一段758号,天心区,2600
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,1200
天心区新柠路2号（芙蓉路天虹百货旁）,天心区,2200
天心区赤岭路街道赤岭路215号,天心区,3000
天心区木莲西路169号(井湾子大润发超市往西100米),天心区,1900
长沙市芙蓉南路四段1129号幸福庄园,天心区,1800
芙蓉中路三段268号芙蓉·蓉苑,天心区,3000
长沙赤岭路348号金碧文华,天心区,2200
中意二路西中信文化广场（中信新城二期）,天心区,1600
长沙市雨花区洞井镇高升村迎新佳苑,天心区,3800
芙蓉南路西向友谊路958号（原1103厂）,天心区,2500
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,2400
天心区大托镇先锋村新谷路368号,天心区,3500
芙蓉南路与环保西路交汇处(友阿奥特莱斯对面),天心区,1400
中意二路西中信文化广场（中信新城二期）,天心区,1300
长沙市天心区芙蓉南路二段9号,天心区,1500
天心区木莲西路187号天天向上,天心区,3000
长沙市天心区天心芙蓉中路三段418号(芙蓉中路神龙大酒店对面),天心区,3600
天心区新姚西路明德中学新旁边盛湘家园,天心区,1900
友谊路268号万芙锦城,天心区,3200
芙蓉南路二段88,天心区,2700
湖南省长沙市天心区竹塘西路228号,天心区,3000
长沙市天心区解放西路与三王街交汇处,天心区,6200
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,2400
书院路与新中路交汇出处东北角(南郊公园对面)翡翠林居,天心区,2500
天心区芙蓉南路2段368号,天心区,1600
芙蓉南路1段418号,天心区,3500
天心区赤岭路长沙理工大学对面白沙花园,天心区,1600
长沙市天心区芙蓉南路与披塘路交汇路口，大托镇政府南侧,天心区,2200
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,2800
湘府西路新省政府西边保利花园,天心区,2100
天心石人村木莲冲路110号童话里,天心区,1800
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,2000
天心天心区新开铺路493号,天心区,1300
湖南省长沙市天心区木莲西路168号,天心区,2400
韶山南路828号恒盛世家,天心区,2600
长沙市天心区环保西路与芙蓉南路交汇处,天心区,2300
天心区新开铺路579号,天心区,2600
长沙市天心区芙蓉南路369号BOBO天下城,天心区,2800
长沙市天心区芙蓉南路四段1111号山水印象（愿景想山）,天心区,2200
芙蓉南路与环保西路交汇处(友阿奥特莱斯对面),天心区,2200
